"a","b","ind_a","ind_b","stim_a","stim_b","same_label","r"
"GSM5695307_204088100053_R08C01","GSM5695319_204088100082_R01C01","SFA_2","SFA_4","S","S",FALSE,0.184646960171725
"GSM5695307_204088100053_R08C01","GSM5695320_204281260063_R01C01","SFA_2","SFA_1","S","U",FALSE,0.139398560878213
"GSM5695307_204088100053_R08C01","GSM5695321_204273120073_R04C01","SFA_2","MFA_4","S","S",FALSE,-0.129151598425326
"GSM5695307_204088100053_R08C01","GSM5695322_204088100053_R06C01","SFA_2","MFA_4","S","U",FALSE,-0.147271488047086
"GSM5695307_204088100053_R08C01","GSM5695323_204273120066_R02C01","SFA_2","MFA_5","S","S",FALSE,0.116882478222049
"GSM5695307_204088100053_R08C01","GSM5695324_204273120074_R08C01","SFA_2","MFA_5","S","U",FALSE,0.129098494699396
"GSM5695307_204088100053_R08C01","GSM5695325_204273120068_R02C01","SFA_2","NA_1","S","S",FALSE,0.140897067642761
"GSM5695307_204088100053_R08C01","GSM5695326_204281260060_R01C01","SFA_2","NA_1","S","U",FALSE,0.142786143418488
"GSM5695307_204088100053_R08C01","GSM5695327_204281260060_R07C01","SFA_2","NA_2","S","S",FALSE,0.158647564013741
"GSM5695307_204088100053_R08C01","GSM5695328_204281260061_R05C01","SFA_2","NA_2","S","U",FALSE,0.151440429621498
"GSM5695307_204088100053_R08C01","GSM5695329_204088100082_R02C01","SFA_2","MFA_6","S","S",FALSE,-0.0364451627339397
"GSM5695307_204088100053_R08C01","GSM5695330_204281260061_R04C01","SFA_2","MFA_6","S","U",FALSE,-0.0540901292444456
"GSM5695307_204088100053_R08C01","GSM5695331_204281260060_R06C01","SFA_2","MFA_7","S","S",FALSE,0.250341043765675
"GSM5695307_204088100053_R08C01","GSM5695332_204273120066_R08C01","SFA_2","MFA_7","S","U",FALSE,0.236037774176449
"GSM5695307_204088100053_R08C01","GSM5695333_204088100053_R02C01","SFA_2","NA_3","S","S",FALSE,0.0149897760766075
"GSM5695307_204088100053_R08C01","GSM5695334_204281260063_R08C01","SFA_2","NA_3","S","U",FALSE,0.0186860523848611
"GSM5695307_204088100053_R08C01","GSM5695335_204088100053_R05C01","SFA_2","NA_4","S","S",FALSE,-0.0058869855289949
"GSM5695307_204088100053_R08C01","GSM5695336_204273120005_R07C01","SFA_2","NA_4","S","U",FALSE,0.00843137960033961
"GSM5695307_204088100053_R08C01","GSM5695337_204088100082_R04C01","SFA_2","NA_5","S","S",FALSE,-0.0195496207167687
"GSM5695307_204088100053_R08C01","GSM5695338_204088100071_R01C01","SFA_2","NA_5","S","U",FALSE,-0.0177629478187522
"GSM5695307_204088100053_R08C01","GSM5695339_204281260043_R04C01","SFA_2","MFA_8","S","S",FALSE,0.152173537209278
"GSM5695307_204088100053_R08C01","GSM5695340_204273120074_R05C01","SFA_2","MFA_8","S","U",FALSE,0.155148030561072
"GSM5695307_204088100053_R08C01","GSM5695341_204281260060_R05C01","SFA_2","NA_6","S","S",FALSE,0.124654392156907
